Date,pnl_gross
2021-05-12,-131.4738749755916
2021-05-13,0.0
2021-05-14,4077.047870083923
2021-05-15,0.0
2021-05-16,0.0
2021-05-17,-3512.1114860328453
2021-05-18,202.69764790957322
2021-05-19,308.15963112023945
2021-05-20,-342.28306741138414
2021-05-21,-1778.5858421363532
2021-05-22,0.0
2021-05-23,0.0
2021-05-24,-1320.875371335064
2021-05-25,-2135.176759852584
2021-05-26,-1804.1128976099087
2021-05-27,-1402.6361290473321
2021-05-28,8465.141520473508
2021-05-29,0.0
2021-05-30,0.0
2021-05-31,811.0885441844619
2021-06-01,-31.57685504633372
2021-06-02,-2047.2009486526188
2021-06-03,-506.2207801818719
2021-06-04,658.3532807677072
2021-06-05,0.0
2021-06-06,0.0
2021-06-07,-30.957106427322856
2021-06-08,359.2585700978823
2021-06-09,1104.3775143377377
2021-06-10,-706.0046438178347
2021-06-11,-1328.878337749817
2021-06-12,0.0
2021-06-13,0.0
2021-06-14,-2346.006086790708
2021-06-15,397.19130160288387
2021-06-16,801.2063172040685
2021-06-17,-3660.7306752008512
2021-06-18,950.3293654855294
2021-06-19,0.0
2021-06-20,0.0
2021-06-21,1470.0098898091699
2021-06-22,-1402.0522256392453
2021-06-23,1128.7027762387127
2021-06-24,-5328.649379246489
2021-06-25,228.56238492982686
2021-06-26,0.0
2021-06-27,0.0
2021-06-28,327.4421837100539
2021-06-29,232.47498019032253
2021-06-30,-1301.5925974341558
2021-07-01,846.9971462031278
2021-07-02,20.89118976992944
2021-07-03,0.0
2021-07-04,0.0
2021-07-05,1127.3802849650494
2021-07-06,4003.808795619583
2021-07-07,-79.90830868665364
2021-07-08,-971.8200015199209
2021-07-09,-908.8045585575168
2021-07-10,0.0
2021-07-11,0.0
2021-07-12,59.877226593527666
2021-07-13,616.145734093645
2021-07-14,-1954.6003942497769
2021-07-15,1566.1309248560042
2021-07-16,3211.0515064940073
2021-07-17,0.0
2021-07-18,0.0
2021-07-19,-1079.526919161893
2021-07-20,-1246.948747700245
2021-07-21,0.0
2021-07-22,-2468.2690948402583
2021-07-23,798.4062542090919
2021-07-24,0.0
2021-07-25,0.0
2021-07-26,-1717.5028721653528
2021-07-27,-313.725399757947
2021-07-28,-1957.8788545593113
2021-07-29,-1954.4028977102503
2021-07-30,382.12891645635034
2021-07-31,0.0
2021-08-01,0.0
2021-08-02,337.4428609236269
2021-08-03,-1076.7362760256028
2021-08-04,686.2946377888935
2021-08-05,2561.4902592123312
2021-08-06,-213.91370199191684
2021-08-07,0.0
2021-08-08,0.0
2021-08-09,-926.9005543147179
2021-08-10,-1998.5884797983379
2021-08-11,-341.57136556491014
2021-08-12,-1078.3003076908603
2021-08-13,-1045.4399583403615
2021-08-14,0.0
2021-08-15,0.0
2021-08-16,488.0417316110954
2021-08-17,-6206.392395649978
2021-08-18,947.2744613581319
2021-08-19,0.0
2021-08-20,-1358.7550057211972
2021-08-21,0.0
2021-08-22,0.0
2021-08-23,-2262.972153006364
2021-08-24,4245.566099321698
2021-08-25,-2004.732276825021
2021-08-26,-2189.955130204293
2021-08-27,126.95535240668576
2021-08-28,0.0
2021-08-29,0.0
2021-08-30,3940.4719125491106
2021-08-31,-318.6676323202642
2021-09-01,3049.5967212794203
2021-09-02,-4000.5659119887096
2021-09-03,-1281.984338877551
2021-09-04,0.0
2021-09-05,0.0
2021-09-06,-3072.9839651837815
2021-09-07,3212.4705370783677
2021-09-08,2154.047842866893
2021-09-09,282.4059436671767
2021-09-10,0.0
2021-09-11,0.0
2021-09-12,0.0
2021-09-13,-46.42386708779742
2021-09-14,-444.76660776239896
2021-09-15,-2738.970649949552
2021-09-16,10388.444264320631
2021-09-17,3913.427816637565
2021-09-18,0.0
2021-09-19,0.0
2021-09-20,-509.0854396874222
2021-09-21,-66.40025711437838
2021-09-22,-621.5972959213234
2021-09-23,866.7814366991024
2021-09-24,-1393.0994461900582
2021-09-25,0.0
2021-09-26,0.0
2021-09-27,3830.325817702906
2021-09-28,1360.19002487477
2021-09-29,1339.1176867647882
2021-09-30,-627.9011753517816
2021-10-01,-127.64557997332557
2021-10-02,0.0
2021-10-03,0.0
2021-10-04,-99.98478078572685
2021-10-05,-4062.7370659745316
2021-10-06,341.0658035660718
2021-10-07,-1709.3015187506478
2021-10-08,-5307.416102850238
2021-10-09,0.0
2021-10-10,0.0
2021-10-11,14741.889633688237
2021-10-12,2680.4370888212816
2021-10-13,2098.4273556093312
2021-10-14,5974.103620709094
2021-10-15,0.0
2021-10-16,0.0
2021-10-17,0.0
2021-10-18,-426.39440618025714
2021-10-19,-9647.946682879012
2021-10-20,2406.226239527618
2021-10-21,4103.974219613253
2021-10-22,-2073.689279166373
2021-10-23,0.0
2021-10-24,0.0
2021-10-25,-2299.0177193433774
2021-10-26,-1122.7245537910612
2021-10-27,-384.9629135808907
2021-10-28,-1603.1834645726926
2021-10-29,1186.933463288211
2021-10-30,0.0
2021-10-31,0.0
2021-11-01,1782.8807796137094
2021-11-02,382.4306445472823
2021-11-03,-1278.7451676820137
2021-11-04,1663.962486553321
2021-11-05,0.0
2021-11-06,0.0
2021-11-07,0.0
2021-11-08,1382.6699099123553
2021-11-09,-2700.885082971585
2021-11-10,-146.79373911711036
2021-11-11,396.3981297972819
2021-11-12,-1718.935454871984
2021-11-13,0.0
2021-11-14,0.0
2021-11-15,2201.5077971865016
2021-11-16,24.676737235727046
2021-11-17,1134.730452046484
