Date,pnl_net
2024-09-12,377.06451564638144
2024-09-13,39.2390721452296
2024-09-14,0.0
2024-09-15,-28.1342
2024-09-16,-245.39397875688195
2024-09-17,-220.84465740692673
2024-09-18,-591.748917256323
2024-09-19,-302.81103775556534
2024-09-20,-2296.835713245558
2024-09-21,-56.2684
2024-09-22,-84.4026
2024-09-23,2313.113705318315
2024-09-24,3.6295544039348613
2024-09-25,-244.38373940450563
2024-09-26,209.73715501976443
2024-09-27,287.21537314299184
2024-09-28,0.0
2024-09-29,0.0
2024-09-30,254.32450997337665
2024-10-01,0.0
2024-10-02,0.0
2024-10-03,-56.2684
2024-10-04,-412.34656560005556
2024-10-05,0.0
2024-10-06,-28.1342
2024-10-07,-691.7086309006812
2024-10-08,242.36430536128205
2024-10-09,-110.78023879063404
2024-10-10,-225.8546833820874
2024-10-11,64.34823380796838
2024-10-12,-56.2684
2024-10-13,0.0
2024-10-14,-898.7904997633725
2024-10-15,-1430.0261694497772
2024-10-16,1436.4791591035073
2024-10-17,53.5538243579669
2024-10-18,2325.7055015500696
2024-10-19,0.0
2024-10-20,-28.1342
2024-10-21,190.36701372423792
2024-10-22,664.0669069814587
2024-10-23,-371.09002238824826
2024-10-24,-660.2617069900685
2024-10-25,413.9382365542721
2024-10-26,0.0
2024-10-27,-56.2684
2024-10-28,-28.1342
2024-10-29,-631.1677163215296
2024-10-30,755.3729587795006
2024-10-31,-1118.8619204981615
2024-11-01,70.46749660392092
2024-11-02,-56.2684
2024-11-03,0.0
2024-11-04,557.7838087475004
2024-11-05,-1259.5663317012004
2024-11-06,3074.778467365471
2024-11-07,-273.47055624767626
2024-11-08,1041.9946090487092
2024-11-09,0.0
2024-11-10,-28.1342
2024-11-11,-28.1342
2024-11-12,294.24766067748305
2024-11-13,-28.1342
2024-11-14,261.4709181553316
2024-11-15,0.0
2024-11-16,0.0
2024-11-17,0.0
2024-11-18,0.0
2024-11-19,0.0
2024-11-20,0.0
2024-11-21,0.0
2024-11-22,-28.1342
2024-11-23,0.0
2024-11-24,0.0
2024-11-25,-47.061017944346254
2024-11-26,-14.619130475077554
2024-11-27,212.58170887357662
2024-11-28,320.56313696952856
2024-11-29,0.0
2024-11-30,0.0
2024-12-01,0.0
2024-12-02,0.0
2024-12-03,0.0
2024-12-04,-140.671
2024-12-05,-1073.8571127117843
2024-12-06,807.5832483093877
2024-12-07,0.0
2024-12-08,-365.74460000000005
2024-12-09,-2849.9772124350325
2024-12-10,-1181.538493964509
2024-12-11,-1751.80906614973
2024-12-12,-3921.51196413665
2024-12-13,1425.0435110791655
2024-12-14,0.0
2024-12-15,0.0
2024-12-16,1782.740362000613
2024-12-17,-623.5095359884612
2024-12-18,460.7391050808333
2024-12-19,1048.4129666301324
2024-12-20,-1565.6615030690873
2024-12-21,0.0
2024-12-22,0.0
2024-12-23,2031.064764324704
2024-12-24,680.05107699831
2024-12-25,0.0
2024-12-26,-507.94335688223833
2024-12-27,-1205.2202238049963
2024-12-28,0.0
2024-12-29,0.0
2024-12-30,-603.8325964789215
2024-12-31,3047.5664981922973
2025-01-01,103.89626008459628
2025-01-02,-1267.9100059342964
2025-01-03,2173.542360147138
2025-01-04,0.0
2025-01-05,0.0
2025-01-06,-2564.4328135246765
2025-01-07,1671.5687903973621
2025-01-08,3474.5689621772462
2025-01-09,-1432.8458512470584
2025-01-10,-1750.9352802145966
2025-01-11,0.0
2025-01-12,0.0
2025-01-13,-2238.981298520053
2025-01-14,5787.764238946378
2025-01-15,669.5157542922144
2025-01-16,4105.982968115592
2025-01-17,5626.060084825171
2025-01-18,-28.1342
2025-01-19,0.0
2025-01-20,1108.698693498827
2025-01-21,716.6843944715591
2025-01-22,472.0196230921987
2025-01-23,-732.4335873953005
2025-01-24,265.7962350206023
2025-01-25,0.0
2025-01-26,0.0
2025-01-27,2350.5331020320036
2025-01-28,528.4352191154912
2025-01-29,484.53412373724944
2025-01-30,409.9097463618997
2025-01-31,545.0530676366802
2025-02-01,-140.671
2025-02-02,0.0
2025-02-03,70.91404674234147
2025-02-04,1433.3187490075288
2025-02-05,-891.7090947327704
2025-02-06,-994.4270703207561
2025-02-07,-502.789637983132
2025-02-08,0.0
2025-02-09,-28.1342
2025-02-10,731.5176877132819
2025-02-11,-94.64936216775887
2025-02-12,-18.206559838713332
2025-02-13,-303.8293211147045
2025-02-14,-608.26938789574
2025-02-15,0.0
2025-02-16,-28.1342
2025-02-17,177.1550660507059
2025-02-18,-815.1954891713779
2025-02-19,-3243.3658956072627
2025-02-20,1860.384543413513
2025-02-21,519.8748600333988
2025-02-22,0.0
2025-02-23,0.0
2025-02-24,-2224.9199739718115
2025-02-25,-1881.0446178469958
2025-02-26,-56.2684
2025-02-27,-1039.45053767832
2025-02-28,-6156.228601728888
2025-03-01,-112.5368
2025-03-02,-56.2684
2025-03-03,3099.52374806519
2025-03-04,1924.5312785692652
2025-03-05,602.843752156845
2025-03-06,2712.332561114946
2025-03-07,1411.5151150852787
2025-03-08,0.0
2025-03-09,-28.1342
2025-03-10,186.45990416407022
2025-03-11,-838.6259881354578
2025-03-12,-7548.295304331052
2025-03-13,4.194443934267376
2025-03-14,-28.1342
2025-03-15,0.0
2025-03-16,0.0
2025-03-17,-322.96081914001167
2025-03-18,-84.5153698746619
2025-03-19,-3620.7910189965864
2025-03-20,1879.0095358649578
2025-03-21,-1555.198730757248
2025-03-22,-28.1342
2025-03-23,-28.1342
2025-03-24,-1314.8872340231442
2025-03-25,2636.306751755025
2025-03-26,-372.47964282608996
2025-03-27,-326.17264283199444
2025-03-28,-3301.1955450511628
2025-03-29,0.0
2025-03-30,-28.1342
2025-03-31,-56.2684
2025-04-01,770.9256411605571
2025-04-02,-1061.2339984727846
2025-04-03,-6020.8249044185095
2025-04-04,-7377.233716833542
2025-04-05,-84.4026
2025-04-06,0.0
2025-04-07,2371.0597066360287
2025-04-08,515.032169292291
2025-04-09,-2909.8203688794824
2025-04-10,0.0
2025-04-11,-2212.6619025884493
2025-04-12,0.0
2025-04-13,0.0
2025-04-14,0.0
2025-04-15,-3787.5897559037835
2025-04-16,-823.743801462129
2025-04-17,-3359.2957673871233
2025-04-18,0.0
2025-04-19,0.0
2025-04-20,-28.1342
2025-04-21,1730.0374653100273
2025-04-22,-3158.5136850882427
2025-04-23,7278.858303736342
2025-04-24,1568.127497779701
2025-04-25,2077.5461319175356
2025-04-26,0.0
2025-04-27,-28.1342
2025-04-28,-1105.089393243669
2025-04-29,382.77138554443246
2025-04-30,-2061.7405248082637
2025-05-01,-28.1342
2025-05-02,-1285.3280210665466
2025-05-03,0.0
2025-05-04,0.0
2025-05-05,-45.50297816526819
2025-05-06,3.0014015997677674
2025-05-07,-414.50992994490196
2025-05-08,110.81420525600015
2025-05-09,5438.798660556436
2025-05-10,0.0
2025-05-11,0.0
2025-05-12,1720.9238674076023
2025-05-13,182.4323369973384
2025-05-14,779.8630570443654
2025-05-15,-1424.2720441535982
2025-05-16,-202.25268801837322
2025-05-17,0.0
2025-05-18,-28.1342
2025-05-19,9.946013467981459
2025-05-20,673.6591935597535
2025-05-21,227.3336539666858
2025-05-22,-892.8847254441885
2025-05-23,504.2791693150714
2025-05-24,-28.1342
2025-05-25,0.0
2025-05-26,-36.37378704976022
2025-05-27,-19.896982010052767
2025-05-28,-315.64344379015233
2025-05-29,-262.85044415355515
2025-05-30,-333.1634712283299
2025-05-31,0.0
2025-06-01,0.0
2025-06-02,-503.4991526382804
2025-06-03,-629.3249054353192
2025-06-04,133.80446170058315
2025-06-05,-2260.3770238579737
2025-06-06,-0.8196969349371699
2025-06-07,-28.1342
2025-06-08,0.0
2025-06-09,3212.256244616376
2025-06-10,3732.33931355182
2025-06-11,-713.9388704839093
2025-06-12,-392.12621565012086
2025-06-13,1204.9606179518514
2025-06-14,-28.1342
2025-06-15,0.0
2025-06-16,498.1320369613392
2025-06-17,481.47361208077825
2025-06-18,-1577.5892193974003
2025-06-19,-640.0065725355995
2025-06-20,-1186.9349069607083
2025-06-21,0.0
2025-06-22,0.0
2025-06-23,-908.7838275117441
2025-06-24,-169.58184199350242
2025-06-25,1445.8452121642085
2025-06-26,-3740.8539315502157
2025-06-27,-2584.7587449277526
2025-06-28,-28.1342
2025-06-29,-56.2684
2025-06-30,3294.554494511201
2025-07-01,-2978.4221962189463
2025-07-02,1162.5288679534422
2025-07-03,-589.9881164345278
2025-07-04,-65.37655979026164
2025-07-05,0.0
2025-07-06,0.0
2025-07-07,-1174.5829114620344
2025-07-08,97.43420446265193
2025-07-09,854.2906180015895
2025-07-10,-202.28250965654178
2025-07-11,-2612.7420858090045
2025-07-12,-28.1342
2025-07-13,-56.2684
2025-07-14,-1101.472381082093
2025-07-15,712.8147607749747
2025-07-16,561.2293520641621
2025-07-17,-794.0186092166002
2025-07-18,323.1794800196987
2025-07-19,-28.1342
2025-07-20,0.0
2025-07-21,-2742.7475927918886
2025-07-22,-909.644023943223
2025-07-23,-1098.629439364865
2025-07-24,-1271.0838457830737
2025-07-25,-1099.0280790210545
2025-07-26,-28.1342
2025-07-27,0.0
2025-07-28,-2947.963848881121
2025-07-29,-1351.0283761734804
2025-07-30,410.326997637269
2025-07-31,-134.43880167999998
2025-08-01,-2655.2323177817257
2025-08-02,-56.2684
2025-08-03,0.0
2025-08-04,3975.3933208117073
2025-08-05,622.7789933573965
2025-08-06,-2865.126632438466
2025-08-07,568.1587649614085
2025-08-08,348.056360719664
2025-08-09,0.0
2025-08-10,0.0
2025-08-11,-1280.4201623109948
2025-08-12,787.2499602726111
2025-08-13,-218.74387520058656
2025-08-14,-100.75921477070256
2025-08-15,0.0
2025-08-16,0.0
2025-08-17,0.0
2025-08-18,-2065.1107120804113
2025-08-19,-564.3478247673582
2025-08-20,6952.521036032861
2025-08-21,-859.2097717511585
2025-08-22,-426.61272554232954
2025-08-23,0.0
2025-08-24,0.0
2025-08-25,5810.380946878786
2025-08-26,3764.7224554108875
2025-08-27,0.0
2025-08-28,-1956.8774607919158
2025-08-29,-1472.8887039312738
2025-08-30,-28.1342
2025-08-31,0.0
2025-09-01,2184.187806961331
2025-09-02,478.2561251445968
2025-09-03,-2980.213054844538
2025-09-04,-1087.0412046045967
2025-09-05,-3072.195664018124
2025-09-06,0.0
2025-09-07,0.0
2025-09-08,-2170.4885619913525
2025-09-09,5250.110212924839
2025-09-10,3105.157116810944
2025-09-11,-871.0900212224235
2025-09-12,432.4575528211539
2025-09-13,0.0
2025-09-14,0.0
2025-09-15,-1853.4897651666336
2025-09-16,706.2735831453315
2025-09-17,-436.36639538246186
2025-09-18,649.6718852650364
2025-09-19,345.85005686591103
2025-09-20,-56.2684
2025-09-21,-56.2684
2025-09-22,-2980.629611160753
2025-09-23,-1037.9789292156213
2025-09-24,-174.96769881300662
2025-09-25,-2583.4947288937296
2025-09-26,-3608.8495457449517
2025-09-27,-56.2684
2025-09-28,-28.1342
2025-09-29,-2852.062049631119
2025-09-30,218.5835431136803
2025-10-01,1557.7459414908806
2025-10-02,0.0
2025-10-03,-539.7401289584407
2025-10-04,0.0
2025-10-05,0.0
2025-10-06,3857.7750937914416
2025-10-07,-1114.2836587489787
2025-10-08,5342.704860221387
2025-10-09,1235.7404741264565
2025-10-10,-2844.003658724394
2025-10-11,0.0
2025-10-12,0.0
2025-10-13,-764.9175308177585
2025-10-14,-1558.4270436340223
2025-10-15,-228.40359063487358
2025-10-16,-1394.7003398235568
2025-10-17,-3163.6454419977504
2025-10-18,0.0
2025-10-19,0.0
2025-10-20,1713.3042420182346
2025-10-21,-538.856039351811
2025-10-22,0.0
2025-10-23,4191.067152414343
2025-10-24,1104.652112013171
2025-10-25,0.0
2025-10-26,-56.2684
2025-10-27,-2104.797062921896
2025-10-28,-2601.8053710956283
2025-10-29,-1462.6823722527809
2025-10-30,19.23214025682539
2025-10-31,-253.4435477251621
2025-11-01,0.0
2025-11-02,0.0
2025-11-03,-2507.847190556797
2025-11-04,-1864.6984952393045
2025-11-05,0.0
2025-11-06,-1755.1932009635836
2025-11-07,2564.347834494672
2025-11-08,0.0
2025-11-09,0.0
2025-11-10,1610.046224339575
2025-11-11,740.643924176513
2025-11-12,537.5255131033493
2025-11-13,1441.897277792485
2025-11-14,-1310.3312495864413
2025-11-15,0.0
2025-11-16,0.0
2025-11-17,-185.4774042279339
2025-11-18,-1003.0997430139755
2025-11-19,945.6071771332007
2025-11-20,-639.470828147982
2025-11-21,805.2472701100944
2025-11-22,0.0
2025-11-23,0.0
2025-11-24,351.65586871658184
2025-11-25,-2910.173972649416
2025-11-26,315.6463958134335
2025-11-27,2219.689782328265
2025-11-28,-928.0858784660136
2025-11-29,0.0
2025-11-30,0.0
2025-12-01,426.3948839028711
2025-12-02,261.11103806013114
2025-12-03,3054.259866062564
2025-12-04,-675.4510959563296
2025-12-05,-75.72439298657318
2025-12-06,-28.1342
2025-12-07,0.0
