Date,AAPL,GOOGL,META,MSFT,NVDA
2023-12-11,191.7755889892578,132.49539184570312,323.5052185058594,367.1325378417969,46.606258392333984
2023-12-12,193.2944793701172,131.72996520996094,332.3964538574219,370.177978515625,47.635799407958984
2023-12-13,196.5208740234375,131.77969360351562,332.9136047363281,370.1681213378906,48.06661605834961
2023-12-14,196.66976928710938,131.1534423828125,331.3521728515625,361.82281494140625,48.328495025634766
2023-12-15,196.13369750976562,131.80947875976562,333.0926818847656,366.5690002441406,48.868255615234375
2023-12-18,194.4658966064453,134.9904022216797,342.73968505859375,368.4674072265625,50.054725646972656
2023-12-19,195.50827026367188,135.83534240722656,348.4483947753906,369.070556640625,49.581932067871094
2023-12-20,193.4136199951172,137.51527404785156,347.3742980957031,366.4601745605469,48.089595794677734
2023-12-21,193.2646942138672,139.58287048339844,352.15802001953125,369.3474426269531,48.96820831298828
2023-12-22,192.19253540039062,140.64649963378906,351.46185302734375,370.375732421875,48.80828094482422
2023-12-26,191.64654541015625,140.6763153076172,352.8939514160156,370.454833984375,49.257076263427734
2023-12-27,191.74583435058594,139.5331573486328,355.8776550292969,369.8714904785156,49.395023345947266
2023-12-28,192.17269897460938,139.39401245117188,356.3650207519531,371.06787109375,49.49997329711914
2023-12-29,191.1303253173828,138.8572235107422,352.02874755859375,371.8193664550781,49.49997329711914
2024-01-02,184.2904052734375,137.34628295898438,344.400634765625,366.7073669433594,48.14657211303711
2024-01-03,182.91050720214844,138.09181213378906,342.5905456542969,366.4404602050781,47.54783630371094
2024-01-04,180.58753967285156,135.57688903808594,345.22607421875,363.810302734375,47.97665023803711
2024-01-05,179.8628387451172,134.92083740234375,350.0296936035156,363.6224060058594,49.07516098022461
2024-01-08,184.21099853515625,138.01229858398438,356.703125,370.48455810546875,52.22975540161133
2024-01-09,183.79405212402344,140.10972595214844,355.4797668457031,371.5721740722656,53.116363525390625
2024-01-10,184.83644104003906,141.43179321289062,368.44866943359375,378.47381591796875,54.32582473754883
2024-01-11,184.24078369140625,141.2329864501953,367.65301513671875,380.3129577636719,54.79761505126953
2024-01-12,184.56838989257812,141.79957580566406,372.44671630859375,384.1098937988281,54.68566131591797
2024-01-16,182.2950439453125,141.64053344726562,365.4550476074219,385.8896789550781,56.3569221496582
2024-01-17,181.35191345214844,140.6266326904297,366.360107421875,385.0986633300781,56.02806854248047
2024-01-18,187.25869750976562,142.6246337890625,374.0777893066406,389.4492492675781,57.08160400390625
2024-01-19,190.16738891601562,145.50733947753906,381.35784912109375,394.1953430175781,59.46453857421875
2024-01-22,192.48043823242188,145.1196746826172,379.69696044921875,392.0596008300781,59.627464294433594
2024-01-23,193.76107788085938,146.16339111328125,383.09832763671875,394.4227600097656,59.846370697021484
2024-01-24,193.0860137939453,147.81349182128906,388.56829833984375,398.04168701171875,61.3347053527832
2024-01-25,192.75840759277344,150.96461486816406,391.03472900390625,400.32574462890625,61.58959197998047
2024-01-26,191.02113342285156,151.28271484375,391.9895324707031,399.3963317871094,61.00385284423828
2024-01-29,190.3361358642578,152.59483337402344,398.8319396972656,405.121337890625,62.43721008300781
2024-01-30,186.6729736328125,150.5570526123047,397.877197265625,404.0040588378906,62.746070861816406
2024-01-31,183.0594482421875,139.26478576660156,388.0113830566406,393.11761474609375,61.499629974365234
2024-02-01,185.5015411376953,140.3184814453125,392.62603759765625,399.2480163574219,62.998966217041016
2024-02-02,184.4989013671875,141.53118896484375,472.39837646484375,406.6044921875,66.13057708740234
2024-02-05,186.31558227539062,142.82342529296875,456.90338134765625,401.0970153808594,69.30116271972656
2024-02-06,187.923828125,143.24095153808594,452.2389831542969,400.9388122558594,68.19265747070312
2024-02-07,188.03302001953125,144.67234802246094,467.0278625488281,409.4027099609375,70.06781005859375
2024-02-08,186.950927734375,145.0401611328125,467.43560791015625,409.4620666503906,69.61001586914062
2024-02-09,187.71629333496094,148.11172485351562,465.5559387207031,415.8298034667969,72.1009292602539
2024-02-12,186.02651977539062,146.65048217773438,466.3416442871094,410.5991516113281,72.21585845947266
2024-02-13,183.92918395996094,144.27474975585938,457.6095275878906,401.759521484375,72.0959243774414
