Date,AUBANK.NS,AXISBANK.NS,BANDHANBNK.NS,BANKBARODA.NS,CANBK.NS,FEDERALBNK.NS,HDFCBANK.NS,ICICIBANK.NS,IDFCFIRSTB.NS,INDUSINDBK.NS,KOTAKBANK.NS,PNB.NS,SBIN.NS,UNIONBANK.NS
2024-08-09,625.1790161132812,1141.774169921875,197.98135375976562,237.6595916748047,106.82260131835938,196.39398193359375,1632.2435302734375,1161.5999755859375,72.62229919433594,1349.800048828125,1767.612060546875,112.0239028930664,808.07421875,118.98919677734375
2024-08-12,608.9989624023438,1163.305908203125,195.5500030517578,236.69290161132812,105.76065826416016,200.05227661132812,1642.0357666015625,1172.800048828125,71.55579376220703,1350.8499755859375,1770.5087890625,111.37277221679688,796.6044921875,117.58670806884766
2024-08-13,611.1962280273438,1158.6097412109375,192.60000610351562,233.6961669921875,102.99958038330078,201.00660705566406,1585.7550048828125,1168.3499755859375,71.13716888427734,1350.5999755859375,1750.0323486328125,111.08122253417969,781.8507690429688,115.45880126953125
2024-08-14,602.3071899414062,1152.1153564453125,189.99000549316406,231.47279357910156,101.99555206298828,201.53347778320312,1590.304931640625,1161.6500244140625,70.36967468261719,1338.0999755859375,1745.8870849609375,110.37177276611328,787.1934814453125,112.87627410888672
2024-08-16,612.4447021484375,1165.8536376953125,191.58999633789062,235.33953857421875,103.89741516113281,202.46792602539062,1614.3404541015625,1187.25,71.72523498535156,1364.1500244140625,1775.2532958984375,109.85670471191406,796.1143188476562,113.67908477783203
2024-08-19,614.4921875,1152.2652587890625,192.02000427246094,239.109619140625,106.09854888916016,201.49371337890625,1613.7965087890625,1175.9000244140625,71.77507781982422,1347.5999755859375,1779.298583984375,111.96559143066406,797.682861328125,116.2519302368164
2024-08-20,620.3849487304688,1167.002685546875,196.91000366210938,245.87640380859375,107.50804138183594,202.49774169921875,1619.8795166015625,1179.449951171875,73.11070251464844,1381.300048828125,1803.570556640625,114.04532623291016,804.1529541015625,121.44597625732422
2024-08-21,624.429931640625,1173.397216796875,203.77000427246094,244.9580535888672,107.7686996459961,202.0504150390625,1608.109130859375,1174.8499755859375,73.38978576660156,1384.0,1810.862060546875,113.13180541992188,799.4964599609375,120.76891326904297
2024-08-22,632.619873046875,1168.950927734375,205.42999267578125,245.63473510742188,108.44449615478516,202.1199951171875,1613.54931640625,1191.0999755859375,75.11414337158203,1381.9000244140625,1819.40234375,114.05504608154297,804.1529541015625,123.49651336669922
2024-08-23,625.0291748046875,1164.954345703125,201.72000122070312,244.08804321289062,108.22244262695312,199.55999755859375,1607.3673095703125,1203.5,74.17720794677734,1388.550048828125,1815.9063720703125,112.99574279785156,799.3003540039062,122.91617584228516
2024-08-26,632.6697998046875,1169.30078125,200.05999755859375,243.02467346191406,107.55632019042969,198.72999572753906,1622.1051025390625,1213.300048828125,73.86822509765625,1384.5,1810.4127197265625,112.88884735107422,799.0062866210938,120.47874450683594
2024-08-27,634.3176879882812,1180.2413330078125,201.05999755859375,242.8313446044922,107.01568603515625,196.9199981689453,1619.9290771484375,1226.3499755859375,74.3366928100586,1383.199951171875,1801.273193359375,112.69447326660156,799.839599609375,120.44972229003906
2024-08-28,631.7708740234375,1169.9500732421875,196.66000366210938,241.5263214111328,106.4171371459961,195.55999755859375,1619.2861328125,1223.8499755859375,73.84828186035156,1415.75,1789.2371826171875,111.51854705810547,793.467529296875,119.29871368408203
2024-08-29,639.5612182617188,1174.3963623046875,193.92999267578125,241.47799682617188,106.46540069580078,195.9199981689453,1620.7203369140625,1221.9000244140625,72.99109649658203,1417.449951171875,1775.2032470703125,112.27658081054688,798.4671020507812,119.19232177734375
2024-08-30,687.8517456054688,1174.2464599609375,200.3000030517578,241.76800537109375,107.67216491699219,194.6999969482422,1619.08837890625,1229.199951171875,73.5990982055664,1425.25,1778.749267578125,113.28729248046875,799.5454711914062,117.55769348144531
2024-09-02,679.96142578125,1187.784912109375,201.61000061035156,245.44139099121094,108.86927032470703,194.72000122070312,1609.2464599609375,1229.949951171875,74.76528930664062,1449.050048828125,1778.1998291015625,113.23870086669922,805.966552734375,118.40885925292969
2024-09-03,673.4194946289062,1190.58251953125,201.3699951171875,242.34800720214844,107.56596374511719,194.61000061035156,1619.5333251953125,1247.699951171875,74.82508850097656,1436.699951171875,1781.7457275390625,112.33488464355469,808.5643920898438,118.52493286132812
2024-09-04,686.9028930664062,1176.6943359375,199.61000061035156,235.3878631591797,104.84351348876953,187.8699951171875,1623.93505859375,1236.3499755859375,74.40646362304688,1434.4000244140625,1781.7457275390625,109.759521484375,800.427734375,118.06065368652344
2024-09-05,702.0342407226562,1179.5419921875,203.66000366210938,235.72621154785156,104.45734405517578,189.64999389648438,1627.545166015625,1235.949951171875,74.7951889038086,1422.9000244140625,1775.9024658203125,110.2065658569336,802.6334838867188,118.95051574707031
2024-09-06,702.1340942382812,1157.760498046875,196.3300018310547,227.99273681640625,99.80406951904297,183.4499969482422,1619.1376953125,1208.1500244140625,73.41969299316406,1409.3499755859375,1762.118408203125,106.90231323242188,767.0970458984375,117.22882843017578
2024-09-09,713.3203125,1169.8502197265625,195.41000366210938,227.70272827148438,100.42192840576172,184.99000549316406,1628.5838623046875,1235.0,72.38308715820312,1428.0999755859375,1788.0885009765625,106.542724609375,768.8125610351562,116.1455307006836
