Date,pnl_gross
2021-10-31,0.0
2021-11-01,1359.5942860373623
2021-11-02,52.47048838820767
2021-11-03,351.15022849695697
2021-11-04,23.296390744782485
2021-11-05,0.0
2021-11-06,0.0
2021-11-07,0.0
2021-11-08,-80.30498575386056
2021-11-09,-1119.4920388301543
2021-11-10,-1513.0529339747034
2021-11-11,2435.923461514653
2021-11-12,-538.8846184575425
2021-11-13,0.0
2021-11-14,0.0
2021-11-15,2262.96689986077
2021-11-16,477.23107868468117
2021-11-17,-1374.7391351941012
2021-11-18,636.6380157677211
2021-11-19,0.0
2021-11-20,0.0
2021-11-21,0.0
2021-11-22,-924.1321037409047
2021-11-23,463.23795092055855
2021-11-24,141.45914305772942
2021-11-25,6839.441812897769
2021-11-26,4750.008616565132
2021-11-27,0.0
2021-11-28,0.0
2021-11-29,3464.774987460686
2021-11-30,100.2067264928242
2021-12-01,1669.928078723375
2021-12-02,-504.91460029246315
2021-12-03,-932.6881302877176
2021-12-04,0.0
2021-12-05,0.0
2021-12-06,242.5655912342828
2021-12-07,7.741726806322916
2021-12-08,-430.33547551190486
2021-12-09,-151.16246334044612
2021-12-10,482.37966001650767
2021-12-11,0.0
2021-12-12,0.0
2021-12-13,-1231.0072310731957
2021-12-14,-3069.6933929792776
2021-12-15,-275.48240085593744
2021-12-16,-1063.1236651940526
2021-12-17,-7087.411116109503
2021-12-18,0.0
2021-12-19,0.0
2021-12-20,-4789.391752074072
2021-12-21,-921.8356594796817
2021-12-22,1406.7437431914568
2021-12-23,-1544.458788859435
2021-12-24,-1171.9263890924792
2021-12-25,0.0
2021-12-26,0.0
2021-12-27,293.1563627081334
2021-12-28,-305.8326860552651
2021-12-29,-1407.5028664461288
2021-12-30,-1485.7686905542905
2021-12-31,3137.3307076179735
2022-01-01,0.0
2022-01-02,0.0
2022-01-03,2017.5389998121582
2022-01-04,946.1109444528533
2022-01-05,6110.549857216266
2022-01-06,624.8569989694919
2022-01-07,-1289.5701658571147
2022-01-08,0.0
2022-01-09,0.0
2022-01-10,1074.458412507877
2022-01-11,-644.4706530953083
2022-01-12,3692.697060807614
2022-01-13,-1668.9886593392835
2022-01-14,-2927.4351486783967
2022-01-15,0.0
2022-01-16,0.0
2022-01-17,-2202.9240334460546
2022-01-18,-198.05819354532292
2022-01-19,4860.681183593331
2022-01-20,5282.6694055218495
2022-01-21,-182.06613483589427
2022-01-22,0.0
2022-01-23,0.0
2022-01-24,355.16222005642175
