Date,HDFCBANK.NS,ICICIBANK.NS,PNB.NS,SBIN.NS
2019-11-19,1207.7105712890625,480.989990234375,59.521766662597656,304.86553955078125
2019-11-20,1209.08740234375,482.4519958496094,59.28980255126953,303.3891906738281
2019-11-21,1218.5828857421875,485.61956787109375,58.68669891357422,305.74212646484375
2019-11-22,1200.92138671875,484.2063293457031,59.05784225463867,303.8505554199219
2019-11-25,1206.950927734375,485.18096923828125,59.75373077392578,310.1250305175781
2019-11-26,1210.7017822265625,497.7540283203125,58.64030456542969,309.5714111328125
2019-11-27,1213.882568359375,492.685791015625,59.10422897338867,316.999267578125
2019-11-28,1201.4437255859375,505.98980712890625,62.1197509765625,322.3049011230469
2019-11-29,1210.6065673828125,499.6058044433594,60.86715316772461,315.4306945800781
2019-12-02,1201.87109375,497.9488830566406,61.00632858276367,312.3395690917969
2019-12-03,1192.04345703125,496.4382019042969,58.36194610595703,310.2634582519531
2019-12-04,1188.482666015625,515.8336791992188,59.1506233215332,315.4306945800781
2019-12-05,1182.738037109375,514.7128295898438,57.80523681640625,310.21734619140625
2019-12-06,1183.1654052734375,511.4965515136719,55.85675048828125,295.26934814453125
2019-12-09,1180.2216796875,513.1535034179688,56.413455963134766,292.224365234375
2019-12-10,1186.4410400390625,515.2977294921875,55.346431732177734,289.1793518066406
2019-12-11,1185.72900390625,520.0247192382812,55.253639221191406,288.625732421875
2019-12-12,1199.8294677734375,521.779052734375,56.413455963134766,296.97637939453125
2019-12-13,1200.0667724609375,523.43603515625,59.80012130737305,306.8493957519531
2019-12-16,1193.89501953125,525.5802612304688,59.10422897338867,306.2034912109375
2019-12-17,1206.950927734375,527.43212890625,60.032081604003906,307.1723937988281
2019-12-18,1227.1285400390625,527.67578125,58.64030456542969,301.6821594238281
2019-12-19,1223.7576904296875,526.5061645507812,59.01144027709961,302.7894287109375
2019-12-20,1231.259033203125,532.256591796875,59.985694885253906,311.73980712890625
2019-12-23,1236.67138671875,527.5783081054688,59.05784225463867,306.71099853515625
2019-12-24,1224.090087890625,527.3833618164062,58.918663024902344,305.83441162109375
2019-12-26,1206.333740234375,525.0929565429688,58.269161224365234,304.35809326171875
2019-12-27,1210.654296875,535.4730224609375,60.63518524169922,311.1861572265625
2019-12-30,1217.4432373046875,530.1611938476562,59.75373077392578,308.5564270019531
2019-12-31,1207.9005126953125,525.2391357421875,59.707332611083984,307.9566955566406
2020-01-01,1214.072509765625,523.1436767578125,60.032081604003906,308.6025695800781
2020-01-02,1221.8111572265625,526.89599609375,61.887786865234375,313.0777282714844
2020-01-03,1204.3873291015625,525.1903686523438,60.35683059692383,307.9105224609375
2020-01-06,1178.322509765625,512.3737182617188,56.97017288208008,294.3465881347656
2020-01-07,1196.9808349609375,509.644775390625,57.387699127197266,293.79296875
2020-01-08,1193.8475341796875,512.6174926757812,56.4598503112793,295.08477783203125
2020-01-09,1207.236083984375,532.4515380859375,58.08359146118164,304.6810302734375
2020-01-10,1217.9656982421875,526.554931640625,57.94441604614258,306.5726013183594
2020-01-13,1221.0989990234375,524.9467163085938,58.64030456542969,305.1885070800781
2020-01-14,1224.4224853515625,523.9720458984375,58.269161224365234,302.65106201171875
2020-01-15,1219.437255859375,522.0228271484375,58.82587814331055,299.1908874511719
2020-01-16,1222.665771484375,523.5335083007812,58.779483795166016,298.3142395019531
2020-01-17,1213.645263671875,518.5628051757812,58.68669891357422,293.4238586425781
2020-01-20,1191.568603515625,521.2918090820312,57.155738830566406,289.7330017089844
2020-01-21,1181.551025390625,517.588134765625,57.016563415527344,289.4562072753906
2020-01-22,1178.2276611328125,509.5959167480469,56.599029541015625,291.71685791015625
2020-01-23,1182.0257568359375,514.322998046875,57.341312408447266,298.2220153808594
2020-01-24,1181.7410888671875,520.3170776367188,57.85163116455078,299.00634765625
2020-01-27,1151.9730224609375,523.6309814453125,56.92377853393555,291.7630310058594
2020-01-28,1161.4683837890625,514.8104248046875,56.135101318359375,290.7480163574219
2020-01-29,1173.4801025390625,513.2509155273438,56.552635192871094,291.9936828613281
2020-01-30,1164.1746826171875,518.7090454101562,55.62478256225586,286.68804931640625
2020-01-31,1164.4119873046875,512.3250732421875,56.08871078491211,293.839111328125
2020-02-03,1132.6026611328125,502.48101806640625,53.212364196777344,275.0617980957031
2020-02-04,1167.7353515625,517.3444213867188,52.70204544067383,282.58197021484375
2020-02-05,1181.8359375,525.4340209960938,52.794830322265625,286.9648132324219
2020-02-06,1177.2305908203125,527.87060546875,54.418575286865234,297.0686340332031
2020-02-07,1179.509521484375,522.8512573242188,54.5577507019043,295.77679443359375
2020-02-10,1177.70556640625,520.4146118164062,53.11957931518555,293.88525390625
2020-02-11,1177.990234375,526.0675659179688,52.841224670410156,299.28314208984375
2020-02-12,1185.96630859375,535.3754272460938,51.4958381652832,295.453857421875
